epoch,learning_rate,best_val_objective,patience_used,train_samples,train_loss_total,train_loss_heatmap,train_loss_coordinate,train_loss_power,train_loss_direction,train_loss_map,train_location_error_px_mean,train_location_error_px_median,train_location_error_px_p90,train_location_error_px_rmse,train_power_abs_error_db_mean,train_power_abs_error_db_median,train_power_abs_error_db_p90,train_power_abs_error_db_rmse,train_direction_abs_error_deg_mean,train_direction_abs_error_deg_median,train_direction_abs_error_deg_p90,train_direction_abs_error_deg_rmse,train_map_valid_pixels,train_map_rmse_db,train_map_mae_db,val_samples,val_loss_total,val_loss_heatmap,val_loss_coordinate,val_loss_power,val_loss_direction,val_loss_map,val_location_error_px_mean,val_location_error_px_median,val_location_error_px_p90,val_location_error_px_rmse,val_power_abs_error_db_mean,val_power_abs_error_db_median,val_power_abs_error_db_p90,val_power_abs_error_db_rmse,val_direction_abs_error_deg_mean,val_direction_abs_error_deg_median,val_direction_abs_error_deg_p90,val_direction_abs_error_deg_rmse,val_map_valid_pixels,val_map_rmse_db,val_map_mae_db
1,9.96057350657239e-05,3.7948127146810293,0,16384,3.7575004380196333,2.004473050357774,0.31043652776861563,0.07842201724997722,0.06714570031908806,0.2356109592365101,6.211831998264529,4.007770776748657,13.15319585800171,9.58168579322366,2.2339572836644948,1.78863525390625,4.642041015625001,2.9169995291395927,14.770883198748413,9.831217288970947,32.46266593933107,22.763881444296302,159177198,10.016030337550477,6.908390694919372,4096,3.7948127146810293,2.015025877393782,0.32510544132674113,0.06917345052352175,0.06415647243557032,0.2331980872550048,6.473978209422967,4.065993547439575,13.892077922821045,10.378421102821306,2.049602961167693,1.5843524932861328,4.331024169921875,2.8264557602898246,14.183364425597048,9.153068542480469,31.53669834136963,22.23249336506286,40247970,9.915949300217939,6.866144124710207
2,9.842915805643155e-05,3.669259042479098,0,16384,3.4966242741793394,1.8751881492789835,0.2803753194602905,0.07487538416171446,0.06245934903563466,0.23194363055517897,5.727620919420076,3.727895498275757,11.963656997680667,8.869628749970513,2.1836902354843915,1.752614974975586,4.527105712890625,2.8431251904905435,14.187373713501017,9.342360496520996,31.358727264404298,21.73031310308467,159177198,9.937841093840627,6.8391363963946326,4096,3.669259042479098,1.9537536352872849,0.3021493052947335,0.0960466951073613,0.06308204423112329,0.2322456648107618,6.095357456980764,3.8995349407196045,12.532765865325928,9.595050821091094,2.4995193919166923,2.0379981994628906,5.231380462646484,3.290838591251031,14.402223125852515,9.68058443069458,32.436323165893555,21.672107114560053,40247970,9.89736364807201,6.921518141964152
3,9.648882429441257e-05,3.5907996436581016,0,16384,3.3346088589169085,1.8007775894366205,0.25739505035744514,0.0718372759220074,0.059571490484813694,0.23162239594967104,5.3458499886389745,3.5624934434890747,11.045920658111573,8.222719379421383,2.1263112034648657,1.7067089080810547,4.464157867431642,2.782926683110611,13.803921779756562,9.131778717041016,30.528243637084962,21.18866932806459,159177198,9.931105845600824,6.850327944812323,4096,3.5907996436581016,1.9207837618887424,0.294856222695671,0.06976450279762503,0.062008724533370696,0.2302059949724935,5.9559996444831995,3.810825824737549,12.331729412078857,9.273491606607207,2.0982925025746226,1.7138328552246094,4.282268524169922,2.8231431148329262,13.947911083371025,8.938211441040039,30.9654483795166,21.79834647585893,40247970,9.8512358783661,6.866876613643448
4,9.381533400219318e-05,3.5390155389904976,0,16384,3.22530688601546,1.7473820706363767,0.24455162859521806,0.06931224399158964,0.05742972758162068,0.2304468481161166,5.142091004260692,3.421857476234436,10.747319221496587,7.733309491199955,2.095080344704911,1.7029457092285156,4.3660022735595705,2.7261580286610596,13.583704888349715,9.034864902496338,29.953124046325687,20.790870624752383,159177198,9.905495602572143,6.817778140118715,4096,3.5390155389904976,1.8922113222070038,0.29205721433390863,0.07374581861949991,0.05660655422252603,0.23104636574862525,5.912687257490688,3.798205256462097,12.21811819076538,9.22745852762464,2.136908664368093,1.6871490478515625,4.440113067626953,2.9189576349934088,13.178238178984998,8.307695865631104,29.33555316925049,20.76122071414629,40247970,9.87109731417593,6.812444139990055
5,9.045084971874738e-05,3.453262723982334,0,16384,3.116725913947448,1.6921043002512306,0.23197387836989947,0.0698156671714969,0.05666322858451167,0.230506639869418,4.934518600817,3.309175968170166,10.121185111999512,7.524103830351843,2.1028538818936795,1.6945533752441406,4.351340103149415,2.738636011761487,13.426820551209948,8.901123046875,30.018509292602545,20.630904304079447,159177198,9.906551096446341,6.809625932716849,4096,3.453262723982334,1.8336637686006725,0.27334497740957886,0.1526222690299619,0.05683974736894015,0.22926220222143456,5.605573819120764,3.713364005088806,11.383098602294922,8.685348767534501,3.365123437717557,3.0555381774902344,6.48301887512207,4.130662050548564,13.459716744859975,9.08368730545044,29.66470718383789,20.633852143845136,40247970,9.831847394299198,6.7844452609384005
6,8.644843137107059e-05,3.252054048702121,0,16384,3.0496302840765566,1.6568248965777457,0.22575380966009106,0.06823679432272911,0.055841153298388235,0.2292577101616189,4.818789953749956,3.2062647342681885,9.82869749069214,7.449281971075323,2.07314388663508,1.6726188659667969,4.319402694702149,2.709305397289296,13.270496709784197,8.73226022720337,29.62412033081055,20.492825293258687,159177198,9.880282638058013,6.789034834233893,4096,3.252054048702121,1.7584518170915544,0.25149551511276513,0.06665378691104706,0.05461101538094226,0.23447367240441963,5.2316050671252015,3.4316705465316772,10.668188095092773,8.06723258563948,1.9988713720813394,1.5639724731445312,4.220703125,2.7762445879800435,13.189660487437322,8.813546180725098,29.163986206054688,20.16081470336538,40247970,9.946092965586475,6.849726352419913
7,8.18711994874345e-05,3.252054048702121,1,16384,2.941329496446997,1.6060055179987103,0.21107552261673845,0.06306821687394404,0.05578427251748508,0.2285179045284167,4.579476724816573,3.1395111083984375,9.21148443222046,6.905424269932775,1.9872387778013945,1.6018600463867188,4.129798126220703,2.5992911335118776,13.317316596672399,8.802549839019775,29.26145248413087,20.505129045293458,159177198,9.864597066965517,6.765939794297092,4096,3.26701348926872,1.7636872013099492,0.2543939265597146,0.066133933927631,0.05579157832835335,0.2383627353119664,5.277027200530938,3.4238548278808594,10.384421825408936,8.551984547951356,2.0089613711461425,1.5661945343017578,4.185352325439453,2.7484445383435667,13.205063695980925,8.514971256256104,28.773101806640625,20.631204157363847,40247970,10.031120653599535,6.879480442115767
8,7.679133974894983e-05,3.252054048702121,2,16384,2.866087918402627,1.5667958445847034,0.20485241315327585,0.06132572962815175,0.05280951433087466,0.2271695484232623,4.471097460260353,3.042290210723877,8.999861431121827,6.786528907015513,1.959961912361905,1.5774650573730469,4.085461425781251,2.56792966643812,12.895329922277,8.521070957183838,28.79109973907471,19.80971729384182,159177198,9.834508969098767,6.729540490605195,4096,3.310091848485172,1.7907427111640573,0.25773140057572164,0.06461394303187262,0.05337401283031795,0.22834009962389246,5.351536888331793,3.495076894760132,10.606082439422607,8.517398869909554,1.9761196319013834,1.5623607635498047,4.129800796508789,2.736657611335624,12.755862269755454,8.206807136535645,27.907190322875977,20.068745368611932,40247970,9.812516866970933,6.761418624276225
9,7.128896457825363e-05,3.2383328452706337,0,16384,2.795454376609996,1.5308164188172668,0.19673973848694004,0.06011854041571496,0.053013179247500375,0.22677820199169219,4.337467606499217,2.9685378074645996,8.880517292022706,6.5953949992772944,1.9364568397868425,1.5648155212402344,4.009803771972657,2.539803511806503,12.915024962662347,8.57938003540039,28.586778068542483,19.984610410016945,159177198,9.827052428881164,6.7210678671573705,4096,3.2383328452706337,1.7509983014315367,0.2527824199642055,0.0600006604072405,0.05327585247869138,0.2299432823783718,5.258338052391991,3.440166473388672,10.603497982025146,8.311401820124294,1.8872521435841918,1.4439506530761719,3.944232940673828,2.6471391853809263,12.8367213284439,8.377527713775635,28.724278450012207,19.981347587522258,40247970,9.846715929245127,6.825723633617915
10,6.545084971874737e-05,3.137515215203166,0,16384,2.741333863232285,1.5042952606454492,0.1911160965100862,0.058873680794931715,0.05059873003119719,0.22623213057522662,4.247144152031069,2.8771013021469116,8.62246913909912,6.40794262959265,1.9109017353039235,1.5290565490722656,3.9917507171630864,2.5086463879955745,12.649544664724822,8.276392936706543,28.169120216369635,19.296557823251472,159177198,9.813965441279755,6.700045852582522,4096,3.137515215203166,1.7008252465166152,0.23639498502598144,0.058739597647218034,0.061373041666229255,0.22744539723498747,5.010942950874323,3.2335023880004883,9.963465690612793,7.951475941450654,1.8878403063863516,1.4720230102539062,3.9554080963134766,2.5868750768205757,14.144753924676607,9.613163471221924,31.29909038543701,21.367948716218933,40247970,9.79315511607013,6.701820691704011
