epoch,learning_rate,train_loss,train_rmse_db,train_mae_db,train_sparse_calibrated_iso_rmse_db,train_sparse_calibrated_iso_mae_db,train_rmse_improvement_vs_sparse_calibrated_iso_db,train_mae_improvement_vs_sparse_calibrated_iso_db,train_mean_sparse_points,train_valid_pixels,val_loss,val_rmse_db,val_mae_db,val_sparse_calibrated_iso_rmse_db,val_sparse_calibrated_iso_mae_db,val_rmse_improvement_vs_sparse_calibrated_iso_db,val_mae_improvement_vs_sparse_calibrated_iso_db,val_mean_sparse_points,val_valid_pixels,best_val_rmse_db,improved,patience_used
1,0.001,0.14080155763375776,7.333630490855401,4.761919964731689,13.11112661777271,9.567123560383441,5.777496126917309,4.8052035956517525,100.57533617880581,859323264.0,0.10902083248653438,6.442665695247284,4.086688253481479,13.12325881268451,9.576937950037607,6.680593117437226,5.490249696556128,100.0,112161599.0,6.442665695247284,True,0
2,0.001,0.11714256149491024,6.690026622565842,4.228475785074289,13.108856209968437,9.565637217520973,6.418829587402595,5.337161432446684,100.60159943090551,859323264.0,0.1031520003976112,6.266089623058774,3.8301262170397554,13.12325881268451,9.576937950037607,6.857169189625735,5.746811732997852,100.0,112161599.0,6.266089623058774,True,0
3,0.001,0.11425472368731023,6.606584055980267,4.129443579802816,13.111143528486826,9.567678381275618,6.504559472506559,5.438234801472802,100.6526573041443,859323264.0,0.09912583924662531,6.142018490282574,3.53140923927092,13.12325881268451,9.576937950037607,6.981240322401936,6.045528710766687,100.0,112161599.0,6.142018490282574,True,0
4,0.001,0.11212531987047056,6.5445726678021305,4.051171733726041,13.116910096062831,9.56872133395425,6.572337428260701,5.517549600228208,100.7711000963789,859323264.0,0.10303112192686355,6.2622806839718095,3.816902107690173,13.12325881268451,9.576937950037607,6.8609781287127,5.760035842347434,100.0,112161599.0,6.142018490282574,False,1
5,0.001,0.11061421878603062,6.500701480185027,3.9896234038183795,13.11564828790658,9.569958311986303,6.614946807721553,5.580334908167924,100.52504704208546,859323264.0,0.10347569216921758,6.275797057933948,3.7647093770480216,13.12325881268451,9.576937950037607,6.847461754750562,5.812228572989586,100.0,112161599.0,6.142018490282574,False,2
6,0.001,0.10883825478552897,6.4479844305673,3.931047735779675,13.109060869903633,9.567928639250711,6.661076439336333,5.636880903471036,100.69494928633715,859323264.0,0.10030850786925032,6.178330719035575,3.5787827068603044,13.12325881268451,9.576937950037607,6.944928093648935,5.998155243177303,100.0,112161599.0,6.142018490282574,False,3
7,0.001,0.10747569818022318,6.407555984094219,3.8777715365971983,13.108335121154399,9.566069559476048,6.70077913706018,5.6882980228788504,100.64856120060581,859323264.0,0.10380427522605724,6.2849774465117205,3.7087877832857927,13.12325881268451,9.576937950037607,6.838281366172789,5.868150166751814,100.0,112161599.0,6.142018490282574,False,4
8,0.001,0.10642261105136899,6.376224083563133,3.8241674056726107,13.11998913181653,9.570591800596242,6.743765048253397,5.746424394923631,100.77403735830006,859323264.0,0.09703587847395559,6.076547310654635,3.42797286618569,13.12325881268451,9.576937950037607,7.046711502029875,6.148965083851917,100.0,112161599.0,6.076547310654635,True,0
9,0.001,0.1038714836402174,6.299530089813886,3.7231364482179314,13.111192789977114,9.565806392505626,6.811662700163228,5.842669944287695,100.82483133691312,859323264.0,0.09839985749862168,6.119446171414574,3.589247161811593,13.12325881268451,9.576937950037607,7.003812641269936,5.987690788226014,100.0,112161599.0,6.076547310654635,False,1
10,0.001,0.10333664288057805,6.282818736502981,3.6881165576997574,13.119296947500617,9.570406186512832,6.836478210997636,5.882289628813075,100.65860067006288,859323264.0,0.0976400775939561,6.095514011432197,3.4649763117678094,13.12325881268451,9.576937950037607,7.027744801252313,6.111961638269797,100.0,112161599.0,6.076547310654635,False,2
