epoch,learning_rate,train_loss,train_map_pixels,train_map_rmse_db,train_map_mae_db,train_unmeasured_pixels,train_unmeasured_rmse_db,train_unmeasured_mae_db,train_baseline_pixels,train_baseline_rmse_db,train_baseline_mae_db,train_location_mean_error_px,train_location_p90_error_px,val_loss,val_map_pixels,val_map_rmse_db,val_map_mae_db,val_unmeasured_pixels,val_unmeasured_rmse_db,val_unmeasured_mae_db,val_baseline_pixels,val_baseline_rmse_db,val_baseline_mae_db,val_location_mean_error_px,val_location_p90_error_px
1,1.9676295349746148e-05,0.1169166919280542,159177198,6.677802971983369,3.8489362996659318,157538798,6.712027293276253,3.883726444442898,159177198,12.122732710573633,8.746469703968184,3.183468407636269,6.348454809188846,0.1273089455862646,40247970,6.850360689738717,4.019959137841883,39838370,6.885191885166699,4.056850615733688,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
2,1.8727241335952167e-05,0.11650042799738003,159177198,6.6663170711043,3.8362086053501576,157538798,6.700492365063277,3.870942271799135,159177198,12.123598077777574,8.746643106035178,3.176742742188253,6.39754433631897,0.1271963150211377,40247970,6.847329993138745,4.029083938067998,39838370,6.882097264460945,4.065651277141646,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
3,1.72175144212722e-05,0.11648973294359166,159177198,6.666541722758036,3.8341591844178473,157538798,6.7007187301094415,3.8688864431994463,159177198,12.132233082436302,8.753200409826338,3.2020020744901103,6.389698791503907,0.12689226951260935,40247970,6.838421174898718,4.000611175969825,39838370,6.873218532033348,4.0376032703664775,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
4,1.525e-05,0.11639495160488877,159177198,6.66269932955788,3.8299450107927813,157538798,6.696851702513706,3.8645933143928612,159177198,12.124843239225136,8.747012454334579,3.1688698439354823,6.342103528976441,0.1277707987355825,40247970,6.862595399910638,4.063602983357509,39838370,6.897362357512541,4.099642144172172,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
5,1.2958780928473948e-05,0.11639081894099945,159177198,6.662121709773823,3.8323969086091125,157538798,6.696260999128969,3.867010877361342,159177198,12.126999622348194,8.749041482484094,3.186108171768069,6.354996919631959,0.12709071942299488,40247970,6.843938211554839,4.021951293550933,39838370,6.878679132826294,4.05830740950823,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
6,1.0500000000000001e-05,0.11625529402226675,159177198,6.659745013303357,3.827433799999238,157538798,6.693879879554941,3.8620449446832357,159177198,12.127476623531003,8.74829959752398,3.1969336423105688,6.356820678710939,0.12682541948743165,40247970,6.836932986864484,4.013579515784348,39838370,6.871578354480538,4.04965214766992,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
7,8.041219071526054e-06,0.11612059314211365,159177198,6.654618578045361,3.8226935033603606,157538798,6.688730720081806,3.8572834884323393,159177198,12.124452003809685,8.746528187998742,3.184344246844603,6.314568614959721,0.12673364491638495,40247970,6.834066681089148,3.994856533258591,39838370,6.868829083377235,4.031643786403822,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
8,5.7500000000000025e-06,0.11611155907303328,159177198,6.653939423458178,3.8212691299068933,157538798,6.6880521693426935,3.8558719839560944,159177198,12.127303950724642,8.74876601959579,3.164668083328422,6.34293613433838,0.1288561417350138,40247970,6.89200451876848,4.107457309856319,39838370,6.926799010079092,4.14314050241612,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
9,3.7824855787277993e-06,0.11594752349628834,159177198,6.649956872868317,3.8192944004367595,157538798,6.684048196817809,3.853876557639901,159177198,12.12936148020092,8.749722526176967,3.167364951730633,6.256268978118901,0.12692103643348673,40247970,6.839473438534716,4.023247639278594,39838370,6.874189741978887,4.059697095711193,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
10,2.2727586640478324e-06,0.11603910120902583,159177198,6.653280255363708,3.820171743007811,157538798,6.687391063316426,3.8547707425794617,159177198,12.128561942764195,8.748751254852703,3.186365661536229,6.362027883529667,0.12746823183624656,40247970,6.854076456387252,4.051509679613481,39838370,6.888852118647876,4.087934013773284,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
11,1.3237046502538522e-06,0.1160555488531827,159177198,6.652884064072907,3.8195887321465607,157538798,6.686988024121792,3.8541477245107973,159177198,12.135295042210664,8.752562422147141,3.1914765760290607,6.321855115890504,0.12673335986255552,40247970,6.834139046293069,4.003758780487749,39838370,6.868930178275562,4.040919450462307,40247970,12.322969169533284,8.995672039307747,4.404807470898049,8.845760345458984
