epoch,lr,train_loss,train_mae_db,train_rmse_db,val_loss,val_mae_db,val_rmse_db,seconds
1,0.0002998005973067905,0.11009582657637972,3.3265183623502845,4.809496027351938,0.08161050901654061,2.6970992924093413,4.129656339827779,61.89484570000786
2,0.0002992029357760838,0.07848044356480405,2.597329274619766,4.047859306221436,0.06904203492855088,2.3633357433364615,3.7931989998059557,50.20868039998459
3,0.0002982086535565926,0.06512359107661825,2.2634041889212124,3.685904283190038,0.062080808402447216,2.183115454427821,3.602140666823233,54.23827329999767
4,0.0002968204759067688,0.05734545403296329,2.0751628718602553,3.4567290695915522,0.05345354327576214,2.0555704718952867,3.3318397637089623,52.141176800010726
5,0.0002950422077250595,0.052102586721165224,1.944615552201147,3.293860326018019,0.04839242898513762,1.8589618669778645,3.1672325154020022,53.067597899993416
6,0.00029287872312094496,0.04960350073124012,1.8763929300925646,3.21372244888692,0.045497298083697145,1.7992467578956313,3.0714975096531636,51.037039399991045
7,0.00029033595205534295,0.04779856940245558,1.8275144093267732,3.1542060197650263,0.047423989271347444,1.8150475923619755,3.137064298768934,48.62700420001056
8,0.0002874208640869985,0.04665097338061925,1.7925298015446485,3.1158669890668533,0.04576948280917125,1.7846641906955387,3.080463235649574,48.07059129999834
9,0.0002841414492694076,0.04525856632933645,1.7547574161520605,3.068840686292385,0.04409419479413649,1.705121393870962,3.027579223851566,48.01867379999021
10,0.00028050669625063595,0.04437556412703276,1.7304631311669962,3.039214613217475,0.0449389617450619,1.7504065637724222,3.054732684457505,48.00278650000109
11,0.0002765265676360593,0.04363173073941868,1.707384263101983,3.0133632631632614,0.048976704352692274,1.8210118484283435,3.193892095263747,47.92261349997716
12,0.00027221197268155494,0.04287799260278645,1.6881732702368304,2.9871234296745803,0.0449171093491356,1.7357174161267832,3.05467365623063,48.0042306999967
13,0.00026757473739198934,0.04223335670371602,1.6686631666203953,2.9646014581014484,0.040675935440100314,1.6609711903012871,2.9038013661098847,48.07295339999837
14,0.0002626275721069609,0.04174395546886432,1.655219102402114,2.9471142704849944,0.05237095792558086,1.8923522738248835,3.3010496320172455,48.046704700012924
15,0.00025738403666264274,0.04117602795159922,1.6380175322538946,2.9265595871080934,0.04241506794069925,1.656569607773685,2.966490702978754,48.05001390000689
16,0.0002518585032252139,0.04066097407761214,1.6245841033194244,2.9085412094975363,0.04135293567950806,1.6954204558647537,2.927503200519789,48.0982684000046
17,0.0002460661168977514,0.04017290917090376,1.6091311897479703,2.8910166918808677,0.0438699224712641,1.7374794772841489,3.0169117215977392,48.00397050002357
18,0.00024002275420855485,0.03976235732102245,1.5979427611976351,2.875633204513965,0.03918312085018064,1.6114537440419567,2.851682320164729,48.10694070000318
19,0.00023374497959468646,0.03931723619776338,1.58544090887363,2.8593546366054734,0.040018241789736106,1.5792162437772508,2.8813117467155003,48.03965170000447
20,0.00022725,0.03906879781264316,1.5773307671464791,2.849935998403638,0.03860343186959122,1.5798557469270804,2.8283717659685617,48.23277390000294
21,0.00022055561771210403,0.03867436656803659,1.5673226597848688,2.8352464868740466,0.03632815265923404,1.5071540306779234,2.745121971291506,47.98770500000683
22,0.00021368018156752894,0.0383790620218779,1.558193860846832,2.8247669684933694,0.03952606439883454,1.5762017683787317,2.8612466915838604,48.084446300024865
23,0.00020664253665884122,0.03799402347542099,1.5460064863348078,2.8101202976358444,0.04300697689896889,1.6348007211677287,2.9898674988323326,48.17452530001174
24,0.00019946197268155485,0.03762833796260902,1.5354199004127709,2.7965560145333916,0.03700733638965012,1.5117885595635752,2.7692538443813794,48.05088870000327
25,0.00019215817106241678,0.03741529352366267,1.5298905095363151,2.7887694819764275,0.04468852579802944,1.671441433241933,3.046697554679259,48.3968792000087
26,0.00018475115101398396,0.03709982853166589,1.5206754613407132,2.776353654291152,0.03909280698411585,1.5771820036563822,2.8522210295982147,48.10985549999168
27,0.0001772612146633536,0.03690250994450112,1.5143561959462117,2.768774241545723,0.03847666774363665,1.531660178348968,2.8257479003990085,48.23018540002522
28,0.00016970889140544357,0.036595648833434864,1.5046472141001321,2.7581485396071703,0.03540195174138533,1.483012449839525,2.708308679463821,48.091113000002224
29,0.0001621148816333483,0.03628545097081561,1.4965950634010787,2.745353329265763,0.03702970147342159,1.5145399564291766,2.773248730463591,50.08636539999861
30,0.00015450000000000001,0.03603957889876674,1.4889059159023106,2.73601681267919,0.03688721659101462,1.512254548147161,2.7648509402641523,51.30615770001896
31,0.00014688511836665169,0.03589944608241298,1.4841919759903583,2.7308451944676553,0.03486649826001585,1.47245559667462,2.6890747499049805,50.69864210000378
32,0.00013929110859455643,0.035653716674475526,1.4767956890057046,2.721746334885074,0.04050177956272042,1.5745088919011176,2.8996292262175993,52.49242719999165
33,0.00013173878533664639,0.03535121725701086,1.4680596470546143,2.7098104475869706,0.034924842019596794,1.4743081404511769,2.689726381584763,50.61217690000194
34,0.000124248848986016,0.03522200562870082,1.4640972732367132,2.704626498347962,0.03539697187586447,1.456028404538515,2.7114369195661996,48.721380800008774
35,0.00011684182893758324,0.034912146232381716,1.4549858088582799,2.6924987805563334,0.03567911529641473,1.457281942197691,2.7213970906210068,48.4613776000042
36,0.00010953802731844515,0.03476971819925667,1.450282859839228,2.687089317434351,0.03626393586439028,1.4720805900588327,2.744532111478018,48.567213800008176
37,0.0001023574633411588,0.03453450167960844,1.4440285588933364,2.677484830988572,0.034249950420069564,1.4428595120937635,2.6658707159605353,48.405334399983985
38,9.531981843247106e-05,0.03437154812903898,1.4380368402743346,2.6717648343828446,0.034964898015173634,1.4449839074417026,2.69407508064085,48.52481530001387
39,8.844438228789593e-05,0.034128174131009444,1.4313562950212761,2.6619330386902953,0.03392597721115257,1.4200620434455218,2.6543812644093965,48.613767100003315
40,8.175000000000001e-05,0.033954559661814786,1.4266898730378292,2.6545017247865466,0.03549642658928472,1.4556332811079533,2.713201703675958,48.51915629999712
41,7.525502040531358e-05,0.033712276945288874,1.4201493548241844,2.6447222323633843,0.035339971292722094,1.452616684990325,2.707882565656514,48.300327800010564
42,6.897724579144515e-05,0.03364174782512689,1.417449207261788,2.6420341887739,0.0346661579031288,1.4398765652312462,2.683088722428964,48.450514199998
43,6.293388310224865e-05,0.033382472558211175,1.4099396910851423,2.6315419686840054,0.03458517655897676,1.437657926094083,2.679826890549735,48.18597079999745
44,5.714149677478616e-05,0.033181967813190424,1.405118934028671,2.6233595539038053,0.03353687950273913,1.4055288349704993,2.637570430708369,50.36653960001422
45,5.1615963337357326e-05,0.032992410303136606,1.3990581804500697,2.616066297095741,0.03601940324676506,1.4611889895033776,2.7348112042998487,52.599770899978466
46,4.637242789303914e-05,0.03282341924218857,1.394964045159277,2.608559874840147,0.03527674294505896,1.4348222907937638,2.7070684100862326,48.88517689998844
47,4.142526260801071e-05,0.03272016118311383,1.3910159843023948,2.6044010026462505,0.03491809585372384,1.4295097195632904,2.6951488350545523,48.56555339999613
48,3.678802731844514e-05,0.03258317718959792,1.387214402408557,2.599256384302615,0.033981748950782785,1.4143094969947274,2.655220395471143,48.440256800007774
49,3.24734323639408e-05,0.03248977860672609,1.383985073045589,2.595402972497769,0.03264659138794026,1.3896278466705323,2.6026897221794933,48.29308010000386
50,2.849330374936415e-05,0.03232108790244056,1.3798281361371645,2.5883683532803436,0.03549406884677624,1.4419409100697897,2.715683070645568,48.10169440001482
51,2.4858550730592473e-05,0.03218461254927755,1.3762086552652677,2.5822862383490146,0.033952682163943065,1.4078015161456037,2.6567183685003384,48.59702429999015
52,2.1579135913001547e-05,0.03214031348961579,1.3747945184608297,2.5808518532162847,0.033846116886380014,1.4048770172697143,2.6514073523490875,48.493553100008285
53,1.8664047944657138e-05,0.031999878857687146,1.3711872575296853,2.5751100818072032,0.034244661041524974,1.4102318281336248,2.6681145488767046,48.33503220000421
54,1.6121276879055155e-05,0.031962487950625444,1.369807270969661,2.573773389537354,0.03504837065767706,1.4285251171958617,2.6988763787740986,48.324118299991824
55,1.3957792274940556e-05,0.03187020319807538,1.3672318464080129,2.569689397706724,0.034133812548655475,1.4013541042349051,2.6648144031778522,48.39219720000983
56,1.217952409323127e-05,0.031840652117914876,1.3660226917646516,2.5684420777953516,0.034717463469656,1.4219255947641207,2.6865100383824885,48.28585889999522
57,1.0791346443407469e-05,0.0317447147346502,1.3640450706336227,2.564551975330585,0.032950307577429866,1.3806662468651145,2.61714282884887,48.853134800010594
58,9.797064223916219e-06,0.031699134829309736,1.3625000210669185,2.5623064474099406,0.033736960512449905,1.394044797780065,2.648488735148122,48.36697309999727
59,9.199402693209505e-06,0.031591320248877716,1.3600111090704055,2.5580135108981237,0.033429548123411916,1.395125815614515,2.6366473556158216,48.306452799995895
60,8.999999999999999e-06,0.03161916018495833,1.3604918698509938,2.5591311037010995,0.0335178573333313,1.3896598540785907,2.6399715944936677,49.153149799996754
