epoch,phase,phase_epoch,adapter_learning_rate,backbone_learning_rate,train_loss,train_map_pixels,train_map_rmse_db,train_map_mae_db,train_unmeasured_pixels,train_unmeasured_rmse_db,train_unmeasured_mae_db,train_baseline_pixels,train_baseline_rmse_db,train_baseline_mae_db,train_location_mean_error_px,train_location_p90_error_px,val_loss,val_map_pixels,val_map_rmse_db,val_map_mae_db,val_unmeasured_pixels,val_unmeasured_rmse_db,val_unmeasured_mae_db,val_baseline_pixels,val_baseline_rmse_db,val_baseline_mae_db,val_location_mean_error_px,val_location_p90_error_px
1,adapter,1,0.0005,0.0,0.11533630013946095,159177198,6.631454896778636,3.7893536925042275,157538798,6.665539913843115,3.8242482768595925,159177198,12.122717293439601,8.746430890739278,3.1834829181625537,6.34633255004883,0.12671866462915204,40247970,6.833747938176861,4.003627123001659,39838370,6.8685099001300856,4.040506709397706,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
2,adapter,2,0.00047623252829658057,0.0,0.11485862459812779,159177198,6.617694393822631,3.766789717384461,157538798,6.65173458762921,3.8017209090771695,159177198,12.123653149070066,8.746654614301914,3.1767437081532535,6.396321153640748,0.12631622099070228,40247970,6.823144564857467,3.9821141604932238,39838370,6.857869618174003,4.018912187568623,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
3,adapter,3,0.00040963755244609605,0.0,0.11483315702935215,159177198,6.616473355451861,3.761820371683991,157538798,6.650517960280594,3.7967903944909867,159177198,12.132224520401131,8.753206423123316,3.202027108056882,6.389179801940919,0.12620416584104532,40247970,6.81974939698493,3.9688660333558,39838370,6.8544625071514025,4.005648364472659,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
4,adapter,4,0.00031340502414951545,0.0,0.11455338809173554,159177198,6.608967754733415,3.751577540469067,157538798,6.64298036461973,3.786526120608649,159177198,12.12488637414265,8.747013851440306,3.168860384165754,6.3426741600036625,0.1262313811275817,40247970,6.820568916087282,3.9827607013493154,39838370,6.85528285537662,4.019619605269464,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
5,adapter,5,0.00020659497585048453,0.0,0.11445219903544057,159177198,6.606892123347637,3.746165236545453,157538798,6.640899984926932,3.781117504564495,159177198,12.127051240092838,8.749084926840597,3.1860977423905865,6.355885314941407,0.12618685781490058,40247970,6.819136751300508,3.9688060522528548,39838370,6.853850858640446,4.0056275792618745,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
6,adapter,6,0.00011036244755390397,0.0,0.11435728145443136,159177198,6.605593208400495,3.7423587669391316,157538798,6.639598572591975,3.7773201462755965,159177198,12.127486013955311,8.748291182933933,3.19691117584091,6.354774904251101,0.12598269300360698,40247970,6.813693089389227,3.974365726600357,39838370,6.848382774932017,4.011274529386465,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
7,adapter,7,4.376747170341944e-05,0.0,0.11427888611797243,159177198,6.601141604282244,3.736124335410489,157538798,6.635127848394108,3.771067154444162,159177198,12.124475162706327,8.746501558050388,3.1843221265671673,6.314252614974978,0.12590892168373102,40247970,6.811668245481514,3.9650877222341587,39838370,6.846347915988438,4.001895892088163,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
8,decoder,1,0.0001,1e-05,0.12513918658078182,159177198,6.908678627689704,4.236135422199056,157538798,6.94290196508329,4.2685612630409455,159177198,12.127349059798513,8.748759476337208,3.1646676345939113,6.340589380264282,0.12787687874151743,40247970,6.865838854561556,4.115040005355668,39838370,6.899443362894168,4.1453039798112155,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
9,decoder,2,9.638427779428613e-05,9.65745789630079e-06,0.12021537319378695,159177198,6.770713196526652,4.052167809691388,157538798,6.803628760589194,4.08055292463552,159177198,12.129339879117857,8.749691198369051,3.1673704916451584,6.257277584075928,0.1275207835897163,40247970,6.855650209479079,4.070370097781286,39838370,6.8891647260318525,4.100103886063508,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
10,decoder,3,8.608757210636101e-05,8.681980515339464e-06,0.11941933092748513,159177198,6.747999487774118,4.011490892028223,157538798,6.78073827820175,4.039356097567449,159177198,12.128544119014656,8.74870778764802,3.1863451552765696,6.360781860351566,0.1275577771157259,40247970,6.856713665385003,4.089296483642383,39838370,6.890137181888583,4.118981741324854,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
11,decoder,4,7.067746303734177e-05,7.222075445642904e-06,0.11886935983784497,159177198,6.731864492209264,3.9854749202979587,157538798,6.76446849407822,4.0129952220567,159177198,12.13531921301809,8.752584265725872,3.191486342128087,6.324930906295778,0.12837386666433304,40247970,6.878631340251725,4.064479412540884,39838370,6.911988660545003,4.09348343325441,40247970,12.322944214693367,8.995661826146353,4.404830544859578,8.84778356552124
