tile,status,rows,cols,missing_path_gain_cells,height_covered_cells,seconds,error
tile_000118,ok,128,128,4202,6083,0.069,
tile_000119,ok,128,128,4599,6989,0.111,
tile_000120,ok,128,128,4354,6611,0.083,
tile_000121,ok,128,128,4497,6147,0.063,
tile_000122,ok,128,128,3791,5738,0.102,
tile_000123,ok,128,128,4369,6949,0.11,
tile_000124,ok,128,128,4681,7070,0.077,
tile_000125,ok,128,128,5900,9039,0.117,
tile_000126,ok,128,128,4921,7126,0.107,
tile_000127,ok,128,128,4378,6529,0.089,
tile_000128,ok,128,128,4328,5676,0.061,
tile_000129,ok,128,128,3525,4831,0.074,
tile_000130,ok,128,128,4810,7614,0.139,
tile_000131,ok,128,128,4927,7131,0.08,
tile_000132,ok,128,128,3992,5406,0.061,
tile_000133,ok,128,128,4486,4859,0.056,
tile_000134,ok,128,128,5738,8268,0.1,
tile_000135,ok,128,128,4051,5387,0.053,
tile_000136,ok,128,128,4988,7451,0.102,
tile_000137,ok,128,128,3678,5086,0.066,
tile_000138,ok,128,128,4565,6839,0.074,
tile_000139,ok,128,128,3660,5474,0.07,
tile_000140,ok,128,128,6814,9661,0.097,
tile_000141,ok,128,128,5197,7858,0.113,
tile_000142,ok,128,128,3534,5746,0.072,
tile_000143,ok,128,128,5157,7661,0.114,
tile_000144,ok,128,128,4739,7252,0.084,
tile_000145,ok,128,128,6110,9292,0.155,
tile_000146,ok,128,128,4216,5651,0.077,
tile_000147,ok,128,128,4867,7421,0.092,
tile_000148,ok,128,128,7166,11296,0.17,
tile_000149,ok,128,128,3341,5049,0.088,
tile_000150,ok,128,128,5067,7600,0.101,
tile_000151,ok,128,128,5224,7785,0.09,
tile_000152,ok,128,128,4367,6398,0.072,
tile_000153,ok,128,128,3782,5481,0.07,
tile_000154,ok,128,128,3959,6131,0.077,
tile_000155,ok,128,128,4036,4217,0.046,
tile_000156,ok,128,128,3325,5543,0.077,
tile_000157,ok,128,128,4727,7043,0.077,
tile_000158,ok,128,128,4715,6417,0.06,
tile_000159,ok,128,128,6306,8362,0.083,
tile_000160,ok,128,128,5627,8555,0.088,
tile_000161,ok,128,128,6141,8032,0.059,
tile_000162,ok,128,128,4288,5770,0.077,
tile_000163,ok,128,128,5426,6781,0.057,
tile_000164,ok,128,128,4245,6367,0.085,
tile_000165,ok,128,128,3582,5457,0.072,
tile_000166,ok,128,128,3391,5620,0.085,
tile_000167,ok,128,128,4087,6511,0.08,
tile_000168,ok,128,128,4207,6491,0.079,
tile_000169,ok,128,128,7188,10735,0.128,
tile_000170,ok,128,128,5362,8156,0.12,
tile_000171,ok,128,128,4276,6311,0.101,
tile_000172,ok,128,128,4772,7187,0.148,
tile_000173,ok,128,128,4870,7990,0.088,
tile_000174,ok,128,128,7469,11437,0.129,
tile_000175,ok,128,128,7747,10768,0.099,
tile_000176,ok,128,128,5241,6712,0.069,
