epoch,learning_rate,train_loss,train_rmse_db,train_mae_db,train_dpm_baseline_rmse_db,train_dpm_baseline_mae_db,train_calibrated_dpm_rmse_db,train_calibrated_dpm_mae_db,train_rmse_improvement_vs_dpm_db,train_mae_improvement_vs_dpm_db,train_rmse_improvement_vs_calibrated_db,train_mae_improvement_vs_calibrated_db,train_valid_pixels,val_loss,val_rmse_db,val_mae_db,val_dpm_baseline_rmse_db,val_dpm_baseline_mae_db,val_calibrated_dpm_rmse_db,val_calibrated_dpm_mae_db,val_rmse_improvement_vs_dpm_db,val_mae_improvement_vs_dpm_db,val_rmse_improvement_vs_calibrated_db,val_mae_improvement_vs_calibrated_db,val_valid_pixels,best_val_rmse_db,improved,patience_used
1,0.001,0.698578591920064,7.001414060490321,4.0184858323340125,13.464138692129614,12.383728711844704,8.37483941156628,5.629057510849979,6.4627246316392934,8.365242879510692,1.3734253510759586,1.6105716785159663,214833375.0,0.6727938883834415,6.875144183105636,3.9010266679096297,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,6.57192415309607,8.45521650134994,1.5982272190058957,1.7841675303573208,28040518.0,6.875144183105636,True,0
2,0.001,0.6285897075605532,6.641137524763834,3.7148015543441515,13.465043486639452,12.384689596064858,8.375054359936877,5.63001220829864,6.823905961875618,8.669888041720707,1.7339168351730434,1.9152106539544889,214833375.0,0.6134762393103705,6.563759600024425,3.571919873234867,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,6.883308736177281,8.784323296024702,1.909611802087107,2.1132743250320836,28040518.0,6.563759600024425,True,0
3,0.001,0.5677533499306597,6.311496599541981,3.4362204522458395,13.46513816468427,12.384414751665098,8.376166215432283,5.630097872362709,7.153641565142288,8.948194299419258,2.0646696158903017,2.19387742011687,214833375.0,0.5733553700976901,6.345894575082986,3.3959021682481043,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.10117376111872,8.960341001011464,2.127476827028546,2.289292030018846,28040518.0,6.345894575082986,True,0
4,0.001,0.5467229827233424,6.193259217893228,3.333377647327842,13.464620094649966,12.384034138084923,8.375534153460604,5.629628632539055,7.271360876756738,9.050656490757081,2.182274935567376,2.296250985211213,214833375.0,0.5574624849690332,6.258466632669732,3.3843708860870545,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.188601703531974,8.971872283172514,2.2149047694418,2.300823312179896,28040518.0,6.258466632669732,True,0
5,0.001,0.536936720357962,6.139045203521895,3.282197550194424,13.463832786556203,12.383542273168683,8.375406211430716,5.629334993922615,7.3247875830343085,9.10134472297426,2.2363610079088216,2.3471374437281916,214833375.0,0.5425919082429674,6.173972371161277,3.2961392599808605,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.273095965040429,9.060103909278709,2.299399030950255,2.38905493828609,28040518.0,6.173972371161277,True,0
6,0.001,0.5279970717045569,6.08642122276359,3.239450068570584,13.463508409172256,12.383357536974877,8.374148680301142,5.628954963352412,7.377087186408666,9.143907468404294,2.2877274575375512,2.3895048947818283,214833375.0,0.5525933994187249,6.229613379710344,3.3083125506098,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.217454956491363,9.047930618649769,2.243758022401188,2.3768816476571506,28040518.0,6.173972371161277,False,1
7,0.001,0.5226928095314161,6.05544406783905,3.212531613453915,13.465351328199253,12.384739057653402,8.375390134757598,5.629764296399477,7.409907260360202,9.172207444199486,2.319946066918548,2.417232682945562,214833375.0,0.5294949856069353,6.098504487023132,3.204873947942046,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.348563849178574,9.151369221317523,2.3748669150883996,2.4803202503249047,28040518.0,6.098504487023132,True,0
8,0.001,0.5183446575994016,6.030338987029624,3.1899406318966967,13.464917626171921,12.384372467732259,8.375687790799027,5.629749232399296,7.434578639142297,9.194431835835562,2.3453488037694035,2.439808600502599,214833375.0,0.5272054678863949,6.085887683653027,3.2301305070398487,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.361180652548679,9.12611266221972,2.3874837184585047,2.4550636912271018,28040518.0,6.085887683653027,True,0
9,0.001,0.5130860822116874,6.001333386879996,3.1658514476626363,13.46551974627029,12.384734397064701,8.377666102767696,5.630772597018503,7.464186359390294,9.218882949402065,2.3763327158877,2.464921149355867,214833375.0,0.5421616070800357,6.170921378857786,3.210055289456493,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.27614695734392,9.146187879803076,2.302450023253746,2.4751389088104574,28040518.0,6.085887683653027,False,1
10,0.001,0.5081527608930191,5.972191829507306,3.142077931327011,13.463040333384464,12.383029068458288,8.375317842978712,5.628965662341804,7.490848503877158,9.240951137131278,2.4031260134714056,2.4868877310147925,214833375.0,0.5192527155081431,6.039289395643595,3.151281584741052,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.407778940558111,9.204961584518518,2.4340820064679365,2.5339126135258985,28040518.0,6.039289395643595,True,0
11,0.001,0.5028344039693257,5.940020708147269,3.1127080114996097,13.464001382653379,12.383704966698028,8.376020482068789,5.629584206830061,7.5239806745061095,9.270996955198418,2.4359997739215196,2.5168761953304513,214833375.0,0.5118946346971723,5.99656454591929,3.124099327890448,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.450503790282417,9.23214384136912,2.4768068561922423,2.5610948703765026,28040518.0,5.99656454591929,True,0
12,0.001,0.4990457553318169,5.9179432746854514,3.095482879464143,13.46451440498017,12.384188807954072,8.374868584562046,5.629487343388801,7.546571130294718,9.288705928489929,2.4569253098765946,2.534004463924658,214833375.0,0.553401999341117,6.23493736444795,3.3936562240932924,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.212130971753756,8.962586945166276,2.2384340376635814,2.291537974173658,28040518.0,5.99656454591929,False,1
13,0.001,0.49512362803531884,5.893930854932618,3.069219099453239,13.462952859777703,12.38292810532814,8.37521613157143,5.628955402064507,7.569022004845085,9.313709005874902,2.481285276638811,2.5597363026112685,214833375.0,0.5108272380299038,5.990442931985696,3.2207075757302346,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.45662540421601,9.135535593529335,2.4829284701258354,2.464486622536716,28040518.0,5.990442931985696,True,0
14,0.001,0.4903711618915681,5.8654449796466475,3.0432018846582847,13.464557584345018,12.384132808740727,8.37581858558316,5.629659228925673,7.59911260469837,9.340930924082443,2.510373605936512,2.5864573442673886,214833375.0,0.5032196634345585,5.945932871235409,3.0667573683018268,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.501135464966297,9.289485800957742,2.5274385308761227,2.6184368299651237,28040518.0,5.945932871235409,True,0
15,0.001,0.4868829100887097,5.845106415148372,3.0236903856302586,13.463790419395226,12.383433279396183,8.374945036470704,5.62893073294594,7.6186840042468535,9.359742893765924,2.529838621322332,2.6052403473156813,214833375.0,0.5071083943049113,5.967351031298188,3.0908897372188346,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.479717304903518,9.265353432040735,2.506020370813344,2.594304461048116,28040518.0,5.945932871235409,False,1
16,0.001,0.4847783225197946,5.831755957000745,3.013565249987345,13.462504389919388,12.382374891703861,8.374902996427677,5.628635386028823,7.630748432918644,9.368809641716517,2.543147039426932,2.6150701360414783,214833375.0,0.4949485805299547,5.8962397631969745,3.0128578535888675,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.550828573004732,9.343385315670702,2.5771316389145573,2.672336344678083,28040518.0,5.8962397631969745,True,0
17,0.001,0.4815811686152237,5.812613005074988,2.9949778671493665,13.46463125396378,12.384159855283194,8.374998092138858,5.629660059802161,7.652018248888792,9.389181988133828,2.56238508706387,2.6346821926527944,214833375.0,0.5034472286701203,5.946629560545693,3.119154173614054,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.500438775656013,9.237088995645514,2.5267418415658387,2.5660400246528967,28040518.0,5.8962397631969745,False,1
18,0.001,0.47851098134370845,5.794371337338428,2.978163748998497,13.462690312459078,12.382461486721978,8.375166786021257,5.628701959716454,7.668318975120649,9.40429773772348,2.580795448682829,2.6505382107179574,214833375.0,0.49333540598551434,5.886381266747275,2.988450529872522,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.560687069454431,9.367792639387048,2.586990135364257,2.6967436683944284,28040518.0,5.886381266747275,True,0
19,0.001,0.47700729301947653,5.785178853358161,2.9701607559812344,13.464031371036388,12.383666398435532,8.375609516131446,5.6292803678664916,7.6788525176782265,9.413505642454297,2.5904306627732847,2.659119611885257,214833375.0,0.4908937222427792,5.871840878649148,3.052614303077425,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.575227457552558,9.303628866182144,2.601530523462384,2.6325798951895254,28040518.0,5.871840878649148,True,0
20,0.001,0.47455242180055185,5.770169542659588,2.95756369383947,13.464850162707064,12.384204093055839,8.376316298551737,5.629915332056763,7.694680620047476,9.42664039921637,2.6061467558921496,2.672351638217293,214833375.0,0.4939787672625648,5.89026792565448,3.0402155908817377,13.447068336201706,12.35624316925957,8.473371402111532,5.6851941982669505,7.556800410547226,9.316027578377831,2.583103476457052,2.644978607385213,28040518.0,5.871840878649148,False,1
