39.94768517,116.33652737,101,460,1,405520,1693511682,-90,NR,SA,627264,544
39.94768517,116.33652737,101,460,0,2097214,5835853825,-81,NR,SA,504990,567
39.94770372,116.33653339,99,460,11,405520,1662427144,-97,NR,SA,627264,229
39.94749649,116.33649583,95,460,11,405520,1696080001,-79,NR,SA,627264,988
39.94740924,116.33643633,93,460,11,405520,1696080001,-71,NR,SA,627264,988
39.94703153,116.33625564,81,460,11,405520,1696080001,-90,NR,SA,627264,988
39.9476622,116.3363437,81,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94767007,116.3362893,74,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94767238,116.33625713,70,460,1,405520,1693511682,-83,NR,SA,627264,544
39.94767171,116.33623779,68,460,1,405520,1693511682,-87,NR,SA,627264,544
39.9476726,116.33621093,65,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94769861,116.33617037,58,460,1,405520,1693511682,-82,NR,SA,627264,544
39.94769307,116.33613631,54,460,1,405520,1693511682,-89,NR,SA,627264,544
39.94772484,116.33608375,47,460,1,405520,1693511682,-88,NR,SA,627264,544
39.94778246,116.33621696,46,460,1,405520,1693511682,-90,NR,SA,627264,544
39.94784438,116.33625826,45,460,1,405520,1693511682,-82,NR,SA,627264,544
39.94786402,116.33625951,44,460,1,405520,1693511682,-81,NR,SA,627264,544
39.94787949,116.33626252,44,460,1,405520,1693511682,-82,NR,SA,627264,544
39.9480189,116.3362328,44,460,1,405520,1693511682,-79,NR,SA,627264,544
39.9480757,116.33621609,44,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94808903,116.33619866,43,460,1,405520,1693511682,-82,NR,SA,627264,544
39.94811859,116.33618559,43,460,1,405520,1693511682,-85,NR,SA,627264,544
39.9481633,116.33630166,44,460,1,405520,1693511682,-83,NR,SA,627264,544
39.94817036,116.33636088,45,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94821229,116.33650693,44,460,11,405520,1663004673,-87,NR,SA,627264,417
39.94823962,116.33661831,44,460,1,405520,1693511682,-88,NR,SA,627264,544
39.94824886,116.33665531,44,460,1,405520,1693511682,-83,NR,SA,627264,544
39.94826167,116.33676147,46,460,1,405520,1693511682,-91,NR,SA,627264,544
39.94825461,116.33671705,45,460,1,405520,1690169347,-87,NR,SA,627264,866
39.94826497,116.33679079,46,460,1,405520,1690169347,-85,NR,SA,627264,866
39.94828254,116.33689002,48,460,1,405520,1690169347,-84,NR,SA,627264,866
39.94829396,116.33695425,48,460,1,405520,1690169347,-75,NR,SA,627264,866
39.94841867,116.33708017,44,460,1,405520,1690169347,-84,NR,SA,627264,866
39.9484577,116.33706601,43,460,1,405520,1690169347,-73,NR,SA,627264,866
39.94849733,116.3370545,43,460,1,405520,1690169347,-72,NR,SA,627264,866
39.94851632,116.33704803,42,460,1,405520,1690169347,-66,NR,SA,627264,866
39.94856541,116.33703359,42,460,1,405520,1690169347,-73,NR,SA,627264,866
39.94858528,116.33702505,43,460,1,405520,1690169347,-63,NR,SA,627264,866
39.94868748,116.33700689,41,460,1,405520,1690169347,-80,NR,SA,627264,866
39.9487699,116.33697936,42,460,1,405520,1690169347,-79,NR,SA,627264,866
39.94887215,116.33694839,43,460,1,405520,1690169347,-78,NR,SA,627264,866
39.94895442,116.33693775,42,460,1,405520,1690169347,-87,NR,SA,627264,866
39.94898891,116.3369254,42,460,1,405520,1690169345,-78,NR,SA,627264,588
39.94908813,116.33690253,41,460,1,405520,1693511682,-80,NR,SA,627264,544
39.9491224,116.33685638,42,460,1,405520,1693511682,-79,NR,SA,627264,544
39.94911977,116.3367983,42,460,1,405520,1693511682,-78,NR,SA,627264,544
39.94911019,116.33676041,41,460,1,405520,1693511682,-80,NR,SA,627264,544
39.94910356,116.33673351,42,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94906388,116.33653125,42,460,1,405520,1693511682,-80,NR,SA,627264,544
39.94906094,116.33649316,42,460,1,405520,1693511682,-78,NR,SA,627264,544
39.94904986,116.33645827,43,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94903535,116.33637286,43,460,1,405520,1693511682,-76,NR,SA,627264,544
39.94901461,116.33626633,44,460,1,405520,1693511682,-76,NR,SA,627264,544
39.94900968,116.33619612,44,460,1,405520,1693511682,-76,NR,SA,627264,544
39.94901717,116.33615475,44,460,1,405520,1693511682,-79,NR,SA,627264,544
39.94902763,116.33611792,42,460,1,405520,1693511682,-81,NR,SA,627264,544
39.94904153,116.33595044,41,460,1,405520,1693511682,-82,NR,SA,627264,544
39.9490066,116.33590818,42,460,1,405520,1693511682,-82,NR,SA,627264,544
39.9489969,116.33588275,42,460,1,405520,1693511682,-85,NR,SA,627264,544
39.948928,116.33566965,41,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94892057,116.33560329,42,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94891261,116.33557512,41,460,1,405520,1693511682,-88,NR,SA,627264,544
39.94890765,116.33554571,40,460,1,405520,1693511682,-90,NR,SA,627264,544
39.94800749,116.33544372,44,460,11,405520,1663574023,-84,NR,SA,627264,144
39.94800977,116.33551834,44,460,11,405520,1663574023,-82,NR,SA,627264,144
39.94801037,116.33554123,45,460,11,405520,1663574023,-77,NR,SA,627264,144
39.94801506,116.33557718,45,460,11,405520,1663574023,-69,NR,SA,627264,144
39.94803906,116.33565762,44,460,11,405520,1663574023,-70,NR,SA,627264,144
39.94806747,116.33573662,46,460,11,405520,1663574023,-88,NR,SA,627264,144
39.94807158,116.33575543,46,460,11,405520,1663574023,-92,NR,SA,627264,144
39.94809468,116.33579435,46,460,11,405520,1663574023,-93,NR,SA,627264,144
39.94811359,116.33587088,47,460,1,405520,1693511682,-92,NR,SA,627264,544
39.94814252,116.33601966,48,460,1,405520,1693511682,-89,NR,SA,627264,544
39.94815005,116.33604275,47,460,1,405520,1693511682,-93,NR,SA,627264,544
39.94815517,116.33606625,48,460,1,405520,1693511682,-89,NR,SA,627264,544
39.94816624,116.33612497,48,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94811735,116.33621734,47,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94808493,116.33622727,47,460,1,405520,1693511682,-88,NR,SA,627264,544
39.94798689,116.33624966,46,460,1,405520,1693511682,-83,NR,SA,627264,544
39.94795072,116.33625388,45,460,1,405520,1693511682,-77,NR,SA,627264,544
39.94792916,116.33626428,45,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94790957,116.33626857,44,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94778987,116.33639259,42,460,1,405520,1693511682,-89,NR,SA,627264,544
39.94777178,116.33639016,42,460,1,405520,1693511682,-81,NR,SA,627264,544
39.94775405,116.33639881,42,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94769724,116.33646665,43,460,1,405520,1693511682,-82,NR,SA,627264,544
39.94765905,116.3365394,44,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94763934,116.33656392,43,460,1,405520,1693511682,-87,NR,SA,627264,544
39.94756908,116.33661659,39,460,1,405520,1693511682,-80,NR,SA,627264,544
39.94756196,116.33663594,38,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94753158,116.33670984,33,460,1,405520,1693511682,-86,NR,SA,627264,544
39.94752143,116.33673941,34,460,1,405520,1693511682,-84,NR,SA,627264,544
39.9474878,116.33676801,34,460,1,405520,1693511682,-85,NR,SA,627264,544
39.94745365,116.336612,38,460,1,405520,1693511682,-87,NR,SA,627264,544
39.94744362,116.33659332,39,460,1,405520,1693511682,-88,NR,SA,627264,544
39.94741804,116.3365142,40,460,1,405520,1693511682,-87,NR,SA,627264,544
39.94735416,116.33625597,40,460,1,405520,1693511682,-85,NR,SA,627264,544
39.9473316,116.33625509,39,460,1,405520,1693511682,-84,NR,SA,627264,544
39.94731328,116.33626142,40,460,1,405520,1693511682,-83,NR,SA,627264,544
39.94727926,116.33621661,42,460,1,405520,1693511682,-80,NR,SA,627264,544
39.94726239,116.33614202,47,460,1,405520,1693511682,-91,NR,SA,627264,544
39.94727718,116.33611986,46,460,1,405520,1693511682,-93,NR,SA,627264,544
39.94734672,116.33615441,51,460,11,405520,1696080001,-93,NR,SA,627264,988
39.94737772,116.3361751,53,460,11,405520,1696080001,-85,NR,SA,627264,988
39.94744297,116.33618876,55,460,11,405520,1696080001,-88,NR,SA,627264,988
